,,,,,,"Age-specific fertility rates (births per 1,000 women)",,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
76,Medium variant,"Less developed regions, excluding least developed countries",d,934,2050-2055,22.6187,97.7235,123.8945,100.3024,49.7416,13.5241,2.2840
77,Medium variant,"Less developed regions, excluding least developed countries",d,934,2055-2060,21.3059,93.0033,122.4024,101.9544,50.5834,13.2399,2.1635
78,Medium variant,"Less developed regions, excluding least developed countries",d,934,2060-2065,20.0633,88.5207,121.1141,103.7970,51.5456,12.8501,2.0504
79,Medium variant,"Less developed regions, excluding least developed countries",d,934,2065-2070,18.9223,84.3063,119.9010,105.7464,52.5688,12.5022,1.9497
80,Medium variant,"Less developed regions, excluding least developed countries",d,934,2070-2075,17.8720,80.4540,118.7767,107.7210,53.6003,12.2206,1.8487
81,Medium variant,"Less developed regions, excluding least developed countries",d,934,2075-2080,16.8792,76.9140,117.7587,109.6288,54.5662,11.9872,1.7391
82,Medium variant,"Less developed regions, excluding least developed countries",d,934,2080-2085,15.9114,73.5800,116.8622,111.4905,55.4660,11.7813,1.6274
83,Medium variant,"Less developed regions, excluding least developed countries",d,934,2085-2090,14.9718,70.3378,115.9857,113.2825,56.3141,11.6083,1.5026
84,Medium variant,"Less developed regions, excluding least developed countries",d,934,2090-2095,14.0595,67.1492,115.1170,115.0352,57.1017,11.4616,1.3810
85,Medium variant,"Less developed regions, excluding least developed countries",d,934,2095-2100,13.2143,64.1122,114.3171,116.7835,57.8527,11.3412,1.2695
86,Medium variant,"Less developed regions, excluding China",,948,2015-2020,55.0035,161.4309,157.4949,106.9298,59.0605,21.5031,6.1282
87,Medium variant,"Less developed regions, excluding China",,948,2020-2025,50.4494,154.0322,153.3830,105.2298,56.8784,19.6248,5.5549
88,Medium variant,"Less developed regions, excluding China",,948,2025-2030,46.7086,146.7778,150.3664,103.5736,55.3103,18.0510,5.0330
89,Medium variant,"Less developed regions, excluding China",,948,2030-2035,43.4033,138.9110,147.5994,102.8833,54.5610,17.0235,4.5715
90,Medium variant,"Less developed regions, excluding China",,948,2035-2040,40.3925,131.5206,144.6739,103.0875,54.3016,16.3274,4.2421
91,Medium variant,"Less developed regions, excluding China",,948,2040-2045,37.7431,124.9137,141.8770,103.8303,54.5345,15.8121,4.0178
92,Medium variant,"Less developed regions, excluding China",,948,2045-2050,35.3076,118.8135,139.5268,104.4463,55.0699,15.4060,3.8157
93,Medium variant,"Less developed regions, excluding China",,948,2050-2055,32.9856,113.0238,137.3872,104.9533,55.4214,15.0529,3.5852
94,Medium variant,"Less developed regions, excluding China",,948,2055-2060,30.7122,107.4017,135.3315,105.6220,55.5738,14.6748,3.3470
95,Medium variant,"Less developed regions, excluding China",,948,2060-2065,28.5584,102.1092,133.4772,106.5463,55.9379,14.3166,3.1142
96,Medium variant,"Less developed regions, excluding China",,948,2065-2070,26.5349,97.0848,131.6809,107.5949,56.3693,14.0174,2.8897
97,Medium variant,"Less developed regions, excluding China",,948,2070-2075,24.6468,92.3790,129.9597,108.7026,56.7894,13.7363,2.6712
98,Medium variant,"Less developed regions, excluding China",,948,2075-2080,22.8655,87.9740,128.3653,109.8606,57.1512,13.4578,2.4550
99,Medium variant,"Less developed regions, excluding China",,948,2080-2085,21.1659,83.7915,126.8856,111.0923,57.4736,13.1687,2.2443
100,Medium variant,"Less developed regions, excluding China",,948,2085-2090,19.5529,79.7513,125.4107,112.3612,57.7851,12.8874,2.0325
101,Medium variant,"Less developed regions, excluding China",,948,2090-2095,18.0255,75.8317,123.9276,113.6760,58.0859,12.6156,1.8296
