,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
72,Medium variant,Nigeria,,566,36905.765,39618.907,42613.898,45709.707,48617.020,51165.323,53358.314,55299.633,56931.823,58531.999,59946.438,60941.093,61568.718,61893.668,62076.669,61924.509,61532.483
73,Medium variant,Senegal,,686,2781.544,2944.721,3138.852,3368.782,3608.786,3825.190,4006.990,4154.239,4286.998,4420.288,4548.019,4649.820,4723.723,4768.766,4777.053,4776.994,4758.285
74,Medium variant,Sierra Leone,,694,1307.578,1335.546,1359.013,1370.462,1373.400,1366.530,1354.187,1338.808,1315.223,1289.358,1258.820,1226.861,1193.774,1161.821,1130.827,1099.171,1068.997
75,Medium variant,Togo,,768,1315.548,1395.701,1492.237,1586.259,1667.636,1734.572,1789.145,1841.977,1885.911,1926.238,1952.092,1964.422,1968.597,1965.188,1948.608,1929.899,1905.187
76,Medium variant,ASIA,,935,372314.000,358514.102,346073.403,336025.037,328445.846,322113.269,314310.292,304213.128,293619.991,284639.097,277387.187,271076.542,264501.309,257369.002,249880.536,242957.544,237012.358
77,Medium variant,Eastern Asia,,906,92747.620,84806.523,79154.589,75978.053,74647.367,73906.286,72148.222,69166.769,66042.019,63815.545,62519.278,61629.678,60469.321,58850.402,57036.930,55425.330,54199.082
78,Medium variant,China,4,156,81730.019,74019.459,68617.827,65833.661,64967.501,64492.742,62797.090,59846.043,56818.594,54763.627,53707.597,53063.020,52055.317,50515.860,48768.627,47254.558,46178.772
79,Medium variant,"China, Hong Kong SAR",5,344,409.930,411.997,378.643,332.826,307.285,316.593,347.236,378.512,394.121,387.834,370.200,360.630,367.166,383.431,397.186,400.861,393.468
80,Medium variant,"China, Macao SAR",6,446,38.196,38.953,36.924,34.436,34.534,37.623,41.891,45.116,46.279,46.135,46.060,46.922,48.580,50.267,51.295,51.660,51.597
81,Medium variant,"China, Taiwan Province of China",,158,1059.068,1064.364,1049.055,992.572,897.711,836.575,843.158,875.240,889.826,876.636,838.974,794.638,769.785,771.708,784.100,786.898,772.300
