,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
113,Estimates,Timor-Leste,,626,104.050,110.812,120.957,128.632,128.047,103.879,136.906,149.358,183.029,203.955,189.447,210.314,216.173
114,Estimates,Viet Nam,,704,5266.084,6497.089,7162.291,7590.406,8191.178,8478.588,9073.545,9627.569,9581.913,7495.697,6970.899,7477.720,7926.244
115,Estimates,Western Asia,,922,12550.861,13707.689,15167.537,16544.450,18186.657,19955.145,21982.772,23122.301,23712.484,24219.830,24717.674,26274.313,27949.474
116,Estimates,Armenia,,51,246.263,341.301,355.226,290.222,301.556,342.436,391.784,406.070,323.742,211.850,203.412,220.933,210.753
117,Estimates,Azerbaijan,9,31,622.667,805.550,956.832,878.578,786.608,775.638,886.652,1033.289,977.618,765.761,682.537,733.807,895.744
118,Estimates,Bahrain,,48,28.043,33.736,39.848,41.566,42.198,51.718,64.186,71.853,70.772,70.962,79.361,92.281,104.287
119,Estimates,Cyprus,10,196,71.144,71.389,71.572,60.079,59.445,63.207,71.675,71.899,73.595,65.681,60.314,62.647,64.268
120,Estimates,Georgia,11,268,410.991,482.148,509.680,481.684,453.795,456.164,479.139,486.027,406.700,310.543,273.526,297.251,293.667
121,Estimates,Iraq,,368,1629.200,1475.963,1709.573,2137.464,2360.654,2610.109,2849.028,3163.477,3500.734,4002.177,4412.130,5044.442,5775.904
122,Estimates,Israel,,376,245.415,260.637,294.523,340.416,424.430,464.631,464.458,486.723,526.455,606.082,667.659,742.600,829.197
123,Estimates,Jordan,,400,137.949,199.193,281.119,376.213,461.453,474.252,524.548,582.468,695.946,784.245,813.359,944.072,1158.844
124,Estimates,Kuwait,,414,36.262,46.609,81.602,146.580,206.697,232.876,279.194,267.641,188.847,221.141,226.776,275.584,312.459
125,Estimates,Lebanon,,422,288.003,326.366,362.855,369.638,381.971,394.176,380.785,348.501,334.796,323.564,294.552,264.634,381.389
126,Estimates,Oman,,512,116.868,129.468,144.492,163.781,192.712,255.157,319.801,355.314,335.636,300.045,267.569,303.750,389.746
127,Estimates,Qatar,,634,7.225,9.188,12.328,17.557,23.614,34.504,49.414,52.730,52.352,55.052,65.663,84.298,115.791
128,Estimates,Saudi Arabia,,682,798.207,908.292,1062.294,1254.690,1537.267,1908.892,2472.691,2813.399,2918.243,2766.902,2817.355,2990.136,3062.869
129,Estimates,State of Palestine,12,275,220.445,244.350,294.165,297.844,297.600,334.053,366.651,435.218,538.445,595.715,607.822,650.470,717.491
130,Estimates,Syrian Arab Republic,,760,931.059,1045.816,1183.644,1352.181,1606.383,1877.985,2106.998,2229.607,2251.222,2491.674,2578.303,2696.725,2412.870
131,Estimates,Turkey,,792,5634.060,6080.059,6384.946,6716.842,7256.229,7485.127,7634.711,7156.587,6872.599,6944.572,6723.747,6546.460,6511.903
132,Estimates,United Arab Emirates,,784,18.295,20.792,27.617,39.722,65.635,117.773,185.810,231.787,247.131,250.570,298.066,408.955,468.768
