,,,,,,Number of female deaths by five-year age group (thousands),,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
986,Medium variant,Swaziland,,748,2095-2100,0.633,0.042,0.042,0.085,0.186,0.350,0.527,0.687,0.827,1.022,1.304,1.695,2.402,3.788,6.156,9.429,12.531,13.120,9.541,5.438
987,Medium variant,Western Africa,3,914,2015-2020,3136.648,441.835,361.115,353.743,409.166,387.741,353.648,327.664,297.712,280.622,296.375,345.201,423.503,509.695,567.701,526.094,355.832,153.510,40.281,5.545
988,Medium variant,Western Africa,3,914,2020-2025,2878.802,420.286,346.950,350.133,408.604,385.306,349.669,331.540,314.987,306.577,324.480,375.847,464.721,563.537,626.374,587.136,405.181,175.595,46.867,6.971
989,Medium variant,Western Africa,3,914,2025-2030,2629.127,389.568,323.415,338.922,404.390,387.092,350.344,331.436,323.171,329.591,359.808,417.250,513.258,628.672,706.272,663.746,465.176,207.324,55.809,8.529
990,Medium variant,Western Africa,3,914,2030-2035,2415.501,359.310,296.492,319.732,392.885,386.697,355.693,336.199,327.739,342.956,391.195,466.611,574.602,702.049,799.646,764.551,541.332,246.362,68.398,10.484
991,Medium variant,Western Africa,3,914,2035-2040,2203.057,329.116,270.892,297.073,373.850,380.966,360.586,347.075,339.123,354.823,414.143,514.593,651.554,798.929,910.721,887.138,643.961,298.793,84.342,13.334
992,Medium variant,Western Africa,3,914,2040-2045,1993.735,296.097,243.369,270.633,344.390,361.524,356.397,356.281,357.845,377.013,439.670,557.814,735.554,927.776,1062.560,1038.951,771.369,369.934,106.721,17.063
993,Medium variant,Western Africa,3,914,2045-2050,1794.197,263.710,217.446,246.593,317.587,339.335,345.471,361.075,377.328,407.742,476.289,600.307,807.310,1061.143,1251.631,1235.609,927.406,459.067,137.862,22.669
994,Medium variant,Western Africa,3,914,2050-2055,1604.770,231.823,192.529,224.039,293.094,318.542,330.398,358.413,392.673,440.309,524.146,657.713,877.712,1178.352,1450.831,1481.572,1131.789,572.099,178.305,30.833
995,Medium variant,Western Africa,3,914,2055-2060,1441.571,205.017,172.037,206.076,273.944,302.830,319.068,353.498,402.030,470.274,575.667,729.563,965.386,1285.757,1619.105,1735.056,1383.386,721.414,231.622,42.102
996,Medium variant,Western Africa,3,914,2060-2065,1303.691,181.711,154.143,189.379,255.951,288.323,309.103,349.665,407.157,492.718,624.824,809.513,1081.057,1431.024,1794.009,1978.663,1669.356,918.815,306.795,58.187
997,Medium variant,Western Africa,3,914,2065-2070,1175.615,160.127,137.257,173.136,237.145,272.022,297.360,344.204,410.606,507.945,662.635,884.531,1207.750,1617.210,2021.931,2235.611,1956.925,1151.630,409.051,81.730
998,Medium variant,Western Africa,3,914,2070-2075,1069.311,144.113,124.608,160.417,222.397,258.751,287.505,340.251,415.428,523.492,692.007,942.952,1324.929,1816.685,2302.880,2555.848,2263.876,1396.145,534.881,115.443
999,Medium variant,Western Africa,3,914,2075-2080,973.164,129.678,113.266,148.862,208.064,245.006,276.209,333.639,417.302,537.117,719.348,987.955,1418.610,2008.464,2616.392,2964.268,2663.211,1683.024,680.681,161.713
1000,Medium variant,Western Africa,3,914,2080-2085,887.865,118.559,105.369,142.489,201.438,239.324,271.699,331.580,421.052,550.067,744.136,1025.790,1481.159,2145.702,2894.219,3393.926,3147.902,2050.256,859.898,220.671
1001,Medium variant,Western Africa,3,914,2085-2090,817.850,109.534,98.756,136.555,195.298,233.918,266.536,327.908,421.539,558.345,763.932,1060.091,1540.376,2255.051,3127.166,3829.307,3717.969,2535.809,1108.408,300.973
1002,Medium variant,Western Africa,3,914,2090-2095,756.977,101.604,92.669,130.723,188.639,227.848,260.886,322.854,418.901,561.048,776.599,1087.496,1595.734,2362.655,3325.883,4219.293,4325.224,3128.571,1445.480,416.325
1003,Medium variant,Western Africa,3,914,2095-2100,701.901,94.340,87.015,124.712,181.696,221.108,254.342,316.118,413.014,558.407,780.197,1101.914,1636.176,2458.336,3514.438,4558.869,4890.711,3784.641,1872.591,579.953
1004,Medium variant,Benin,,204,2015-2020,90.947,9.846,6.988,6.392,7.096,7.084,6.730,6.600,6.609,6.735,7.272,8.124,9.591,12.017,14.742,15.233,12.248,7.334,2.997,0.810
1005,Medium variant,Benin,,204,2020-2025,89.313,9.924,7.125,6.638,7.455,7.596,7.315,7.201,7.254,7.440,8.133,9.295,11.094,13.407,15.835,17.300,14.714,8.654,3.449,0.906
1006,Medium variant,Benin,,204,2025-2030,87.841,9.858,7.096,6.773,7.699,7.949,7.847,7.882,8.024,8.321,9.173,10.622,12.971,15.830,18.024,18.931,16.944,10.579,4.134,1.054
1007,Medium variant,Benin,,204,2030-2035,85.743,9.716,6.995,6.809,7.917,8.293,8.301,8.566,8.906,9.328,10.378,12.089,14.935,18.632,21.423,21.724,18.703,12.233,5.113,1.278
1008,Medium variant,Benin,,204,2035-2040,83.562,9.542,6.896,6.819,8.059,8.638,8.784,9.217,9.841,10.515,11.784,13.808,17.141,21.619,25.400,26.030,21.698,13.647,5.938,1.596
1009,Medium variant,Benin,,204,2040-2045,81.038,9.314,6.768,6.818,8.162,8.899,9.263,9.892,10.747,11.791,13.441,15.819,19.735,24.993,29.679,31.096,26.232,16.041,6.697,1.877
1010,Medium variant,Benin,,204,2045-2050,77.710,8.950,6.565,6.755,8.190,9.039,9.577,10.511,11.651,13.008,15.197,18.149,22.732,28.936,34.514,36.575,31.571,19.581,7.980,2.145
1011,Medium variant,Benin,,204,2050-2055,74.273,8.538,6.322,6.654,8.188,9.158,9.813,10.996,12.551,14.289,16.947,20.678,26.264,33.558,40.235,42.864,37.442,23.775,9.845,2.580
1012,Medium variant,Benin,,204,2055-2060,70.969,8.152,6.105,6.583,8.214,9.291,10.058,11.418,13.319,15.589,18.770,23.141,29.972,38.785,46.670,50.045,44.055,28.366,12.045,3.208
1013,Medium variant,Benin,,204,2060-2065,67.440,7.707,5.847,6.458,8.167,9.330,10.207,11.772,13.965,16.705,20.608,25.719,33.669,44.470,54.280,58.571,52.039,33.861,14.585,3.990
1014,Medium variant,Benin,,204,2065-2070,63.438,7.210,5.547,6.276,8.033,9.281,10.262,12.009,14.511,17.654,22.213,28.326,37.544,50.191,62.626,68.749,61.651,40.597,17.701,4.929
1015,Medium variant,Benin,,204,2070-2075,59.598,6.711,5.243,6.082,7.878,9.180,10.242,12.169,14.977,18.559,23.679,30.697,41.598,56.348,71.253,80.157,73.339,48.865,21.583,6.094
1016,Medium variant,Benin,,204,2075-2080,55.706,6.223,4.951,5.875,7.678,9.018,10.143,12.219,15.308,19.311,25.005,32.761,45.152,62.590,80.336,91.821,86.325,58.891,26.368,7.564
1017,Medium variant,Benin,,204,2080-2085,52.082,5.783,4.647,5.646,7.456,8.807,9.980,12.162,15.487,19.882,26.123,34.627,48.255,68.106,89.588,104.253,99.896,70.265,32.328,9.440
1018,Medium variant,Benin,,204,2085-2090,48.325,5.339,4.348,5.373,7.176,8.543,9.729,11.996,15.512,20.256,27.007,36.214,51.109,73.061,98.040,117.321,114.940,82.734,39.369,11.889
1019,Medium variant,Benin,,204,2090-2095,44.492,4.879,4.030,5.083,6.849,8.228,9.431,11.733,15.386,20.407,27.608,37.455,53.542,77.663,105.774,129.563,131.070,96.985,47.371,14.910
1020,Medium variant,Benin,,204,2095-2100,41.256,4.554,3.832,4.943,6.737,8.132,9.354,11.687,15.401,20.575,28.051,38.361,55.397,81.376,112.541,140.353,145.990,112.231,56.692,18.498
1021,Medium variant,Burkina Faso,,854,2015-2020,143.862,17.455,13.183,13.283,15.308,14.458,13.129,12.197,11.205,10.916,11.885,13.989,17.446,21.654,25.689,25.646,18.432,8.319,2.231,0.309
1022,Medium variant,Burkina Faso,,854,2020-2025,130.702,16.275,12.515,13.082,15.205,14.454,13.144,12.478,11.975,11.795,12.853,15.344,19.308,24.081,27.980,28.245,21.074,9.589,2.571,0.353
1023,Medium variant,Burkina Faso,,854,2025-2030,118.981,14.798,11.326,12.245,14.647,14.147,13.062,12.577,12.500,12.995,14.366,17.188,21.945,27.624,32.250,31.949,24.098,11.475,3.116,0.447
1024,Medium variant,Burkina Faso,,854,2030-2035,108.155,13.444,10.228,11.254,13.935,13.986,13.166,12.902,13.005,13.968,16.200,19.550,24.953,31.844,37.534,37.503,27.967,13.518,3.875,0.545
1025,Medium variant,Burkina Faso,,854,2035-2040,97.791,12.155,9.251,10.321,13.006,13.609,13.364,13.397,13.758,14.949,17.806,22.419,28.786,36.715,43.898,44.412,33.629,16.246,4.722,0.734
1026,Medium variant,Burkina Faso,,854,2040-2045,87.620,10.879,8.334,9.478,12.104,12.953,13.291,13.953,14.692,16.224,19.443,25.013,33.439,42.902,51.291,52.827,40.705,20.166,5.898,0.912
1027,Medium variant,Burkina Faso,,854,2045-2050,79.224,9.854,7.675,8.952,11.568,12.547,13.135,14.425,15.868,17.844,21.511,27.555,37.441,49.870,59.961,61.983,49.062,25.000,7.578,1.207
1028,Medium variant,Burkina Faso,,854,2050-2055,71.602,8.827,6.995,8.419,11.056,12.157,12.905,14.536,16.776,19.676,24.008,30.763,41.600,56.424,70.669,74.049,59.278,31.425,9.848,1.639
1029,Medium variant,Burkina Faso,,854,2055-2060,64.424,7.855,6.319,7.813,10.446,11.704,12.608,14.490,17.224,21.160,26.758,34.518,46.675,63.147,80.792,88.756,72.822,39.379,12.955,2.250
1030,Medium variant,Burkina Faso,,854,2060-2065,58.773,7.121,5.781,7.285,9.891,11.281,12.392,14.524,17.621,22.210,29.213,38.804,52.777,71.522,91.525,103.290,89.575,50.364,16.960,3.126
1031,Medium variant,Burkina Faso,,854,2065-2070,53.051,6.376,5.230,6.705,9.194,10.680,11.977,14.388,17.868,22.972,30.850,42.430,59.455,81.259,104.514,118.823,106.730,64.149,22.756,4.340
1032,Medium variant,Burkina Faso,,854,2070-2075,48.442,5.930,4.985,6.563,9.114,10.710,12.125,14.747,18.548,24.046,32.438,44.963,64.900,91.254,118.513,136.298,124.696,78.601,30.159,6.183
1033,Medium variant,Burkina Faso,,854,2075-2080,44.483,5.562,4.759,6.416,9.008,10.675,12.175,14.964,19.062,24.989,33.905,47.093,68.711,100.005,134.324,157.438,147.644,96.417,39.177,8.881
1034,Medium variant,Burkina Faso,,854,2080-2085,40.897,5.176,4.526,6.264,8.871,10.592,12.121,14.985,19.326,25.680,35.189,49.071,71.990,106.442,148.687,181.827,175.974,119.718,51.054,12.522
1035,Medium variant,Burkina Faso,,854,2085-2090,37.476,4.815,4.284,6.047,8.685,10.456,11.989,14.869,19.326,25.994,36.032,50.650,74.837,111.785,159.370,204.298,208.868,148.961,67.048,17.651
1036,Medium variant,Burkina Faso,,854,2090-2095,34.670,4.512,4.062,5.857,8.479,10.280,11.829,14.714,19.215,26.010,36.424,51.714,77.296,116.866,169.037,222.808,241.239,184.522,88.134,25.041
1037,Medium variant,Burkina Faso,,854,2095-2100,32.151,4.228,3.850,5.622,8.217,10.045,11.610,14.461,18.983,25.827,36.345,52.006,78.748,121.037,177.907,239.596,269.526,221.006,114.784,35.458
1038,Medium variant,Cabo Verde,,132,2015-2020,0.570,0.036,0.037,0.060,0.087,0.101,0.106,0.112,0.130,0.185,0.281,0.364,0.431,0.463,0.572,1.016,1.394,1.090,0.396,0.071
1039,Medium variant,Cabo Verde,,132,2020-2025,0.501,0.032,0.033,0.052,0.076,0.094,0.110,0.125,0.144,0.178,0.251,0.381,0.512,0.631,0.660,0.738,1.083,1.082,0.566,0.129
1040,Medium variant,Cabo Verde,,132,2025-2030,0.434,0.029,0.029,0.046,0.066,0.083,0.104,0.131,0.163,0.200,0.245,0.344,0.546,0.766,0.923,0.885,0.821,0.879,0.586,0.198
1041,Medium variant,Cabo Verde,,132,2030-2035,0.378,0.025,0.026,0.041,0.060,0.074,0.093,0.126,0.174,0.230,0.278,0.339,0.498,0.831,1.140,1.266,1.039,0.700,0.499,0.222
1042,Medium variant,Cabo Verde,,132,2035-2040,0.335,0.023,0.024,0.038,0.055,0.068,0.084,0.114,0.169,0.247,0.322,0.386,0.493,0.765,1.251,1.592,1.510,0.957,0.420,0.210
1043,Medium variant,Cabo Verde,,132,2040-2045,0.301,0.020,0.021,0.035,0.051,0.063,0.077,0.103,0.154,0.241,0.349,0.450,0.566,0.768,1.173,1.784,1.967,1.428,0.632,0.191
1044,Medium variant,Cabo Verde,,132,2045-2050,0.271,0.018,0.019,0.031,0.046,0.058,0.072,0.094,0.140,0.220,0.341,0.489,0.663,0.891,1.195,1.705,2.251,1.936,0.972,0.294
1045,Medium variant,Cabo Verde,,132,2050-2055,0.245,0.017,0.017,0.027,0.041,0.053,0.066,0.088,0.128,0.199,0.312,0.478,0.723,1.053,1.405,1.770,2.204,2.267,1.382,0.481
1046,Medium variant,Cabo Verde,,132,2055-2060,0.221,0.015,0.015,0.024,0.037,0.047,0.060,0.081,0.119,0.183,0.283,0.437,0.711,1.160,1.682,2.117,2.350,2.292,1.668,0.735
1047,Medium variant,Cabo Verde,,132,2060-2065,0.199,0.014,0.014,0.022,0.033,0.042,0.053,0.074,0.110,0.170,0.260,0.398,0.653,1.153,1.875,2.574,2.876,2.538,1.755,0.966
1048,Medium variant,Cabo Verde,,132,2065-2070,0.180,0.012,0.012,0.020,0.029,0.037,0.047,0.065,0.100,0.158,0.242,0.366,0.596,1.068,1.883,2.911,3.567,3.208,2.035,1.108
1049,Medium variant,Cabo Verde,,132,2070-2075,0.162,0.011,0.011,0.018,0.026,0.033,0.042,0.058,0.089,0.143,0.225,0.340,0.549,0.982,1.762,2.965,4.112,4.088,2.675,1.350
1050,Medium variant,Cabo Verde,,132,2075-2080,0.147,0.010,0.010,0.016,0.024,0.030,0.038,0.052,0.079,0.127,0.204,0.317,0.512,0.911,1.636,2.810,4.257,4.818,3.523,1.843
1051,Medium variant,Cabo Verde,,132,2080-2085,0.134,0.009,0.009,0.014,0.021,0.027,0.034,0.046,0.070,0.113,0.181,0.287,0.478,0.856,1.533,2.643,4.105,5.104,4.283,2.564
1052,Medium variant,Cabo Verde,,132,2085-2090,0.122,0.008,0.008,0.013,0.019,0.024,0.030,0.042,0.063,0.101,0.161,0.255,0.434,0.805,1.454,2.508,3.930,5.046,4.678,3.348
1053,Medium variant,Cabo Verde,,132,2090-2095,0.110,0.007,0.007,0.011,0.017,0.021,0.027,0.037,0.056,0.090,0.143,0.226,0.388,0.735,1.379,2.405,3.789,4.950,4.767,3.966
1054,Medium variant,Cabo Verde,,132,2095-2100,0.100,0.007,0.006,0.010,0.015,0.019,0.024,0.033,0.050,0.081,0.128,0.201,0.344,0.659,1.268,2.305,3.688,4.878,4.818,4.365
1055,Medium variant,Côte d'Ivoire,,384,2015-2020,175.636,32.131,32.265,28.463,33.433,31.219,27.400,26.364,26.042,25.715,26.528,28.558,31.410,33.356,33.342,29.135,19.227,8.514,2.322,0.362
1056,Medium variant,Côte d'Ivoire,,384,2020-2025,160.001,30.277,29.992,26.732,32.533,31.667,27.998,26.815,27.269,27.868,28.519,30.414,33.878,37.419,37.472,32.495,22.497,10.322,2.866,0.435
1057,Medium variant,Côte d'Ivoire,,384,2025-2030,149.460,28.642,28.346,25.576,31.124,31.423,29.008,27.895,28.185,29.622,31.357,33.154,36.587,40.965,42.736,37.350,25.707,12.422,3.604,0.558
1058,Medium variant,Côte d'Ivoire,,384,2030-2035,141.341,27.117,26.864,24.983,30.474,30.820,29.528,29.570,29.997,31.343,34.156,37.345,40.871,45.378,48.028,43.785,30.556,14.647,4.480,0.728
1059,Medium variant,Côte d'Ivoire,,384,2035-2040,135.383,25.800,25.490,24.450,30.387,30.895,29.636,30.762,32.485,34.091,36.959,41.586,47.079,51.880,54.498,50.500,36.796,18.032,5.435,0.931
1060,Medium variant,Côte d'Ivoire,,384,2040-2045,130.225,24.641,24.244,23.813,30.168,31.311,30.172,31.343,34.354,37.558,40.905,45.777,53.404,60.937,63.613,58.628,43.513,22.267,6.918,1.164
1061,Medium variant,Côte d'Ivoire,,384,2045-2050,124.747,23.156,22.614,22.571,28.975,30.780,30.453,32.016,35.429,40.475,46.120,51.936,60.358,71.002,76.704,70.292,51.873,27.034,8.742,1.529
1062,Medium variant,Côte d'Ivoire,,384,2050-2055,119.031,21.652,21.066,21.403,27.717,29.967,30.437,32.901,36.877,42.478,50.477,59.311,69.336,81.269,90.464,85.960,63.284,32.876,10.842,1.983
1063,Medium variant,Côte d'Ivoire,,384,2055-2060,113.092,20.050,19.457,20.207,26.464,28.974,29.988,33.363,38.527,44.912,53.721,65.668,80.102,94.484,104.808,102.691,78.668,40.966,13.481,2.527
1064,Medium variant,Côte d'Ivoire,,384,2060-2065,107.326,18.480,17.908,19.070,25.279,28.052,29.445,33.468,39.817,47.754,57.671,70.762,89.840,110.583,123.452,120.724,95.408,51.944,17.204,3.227
1065,Medium variant,Côte d'Ivoire,,384,2065-2070,100.965,16.841,16.321,17.851,23.967,26.967,28.714,33.207,40.487,50.022,62.031,76.656,97.763,125.338,146.070,144.085,113.938,63.996,22.284,4.226
1066,Medium variant,Côte d'Ivoire,,384,2070-2075,95.046,15.437,15.041,16.888,22.863,26.043,28.076,32.987,40.931,51.652,65.666,82.874,106.231,136.688,165.815,171.242,137.292,77.603,27.898,5.617
1067,Medium variant,Côte d'Ivoire,,384,2075-2080,88.797,13.961,13.714,15.855,21.659,24.910,27.186,32.476,41.092,52.785,68.373,88.199,115.652,149.910,182.927,197.383,166.668,96.207,34.937,7.303
1068,Medium variant,Côte d'Ivoire,,384,2080-2085,82.099,12.483,12.352,14.725,20.352,23.610,26.017,31.621,40.848,53.504,70.378,92.268,123.893,164.651,202.934,221.272,195.998,119.997,44.775,9.519
1069,Medium variant,Côte d'Ivoire,,384,2085-2090,77.072,11.377,11.317,13.813,19.250,22.551,25.044,30.844,40.576,54.103,72.222,95.724,130.724,178.147,225.460,249.400,224.269,144.484,57.575,12.689
1070,Medium variant,Côte d'Ivoire,,384,2090-2095,71.799,10.352,10.299,12.854,18.057,21.356,23.951,29.846,39.888,54.114,73.330,98.361,136.060,189.049,245.931,280.732,257.902,169.837,71.434,17.047
1071,Medium variant,Côte d'Ivoire,,384,2095-2100,66.575,9.342,9.331,11.900,16.840,20.075,22.737,28.715,38.916,53.622,73.809,100.228,140.609,198.440,263.844,311.137,296.877,201.570,87.133,22.225
1072,Medium variant,Gambia,,270,2015-2020,12.912,1.738,1.415,1.437,1.682,1.599,1.464,1.373,1.218,1.155,1.258,1.393,1.625,1.774,2.136,2.314,1.652,0.797,0.221,0.026
1073,Medium variant,Gambia,,270,2020-2025,12.740,1.770,1.459,1.518,1.808,1.721,1.541,1.450,1.395,1.322,1.406,1.678,1.994,2.356,2.441,2.458,1.967,0.873,0.251,0.032
1074,Medium variant,Gambia,,270,2025-2030,12.499,1.751,1.459,1.556,1.884,1.838,1.660,1.540,1.499,1.552,1.643,1.914,2.448,2.939,3.274,2.890,2.109,1.082,0.282,0.045
1075,Medium variant,Gambia,,270,2030-2035,12.159,1.713,1.431,1.569,1.942,1.940,1.804,1.694,1.627,1.699,1.956,2.255,2.813,3.621,4.093,3.881,2.565,1.160,0.365,0.052
1076,Medium variant,Gambia,,270,2035-2040,11.704,1.658,1.389,1.551,1.969,2.024,1.933,1.876,1.825,1.873,2.168,2.709,3.329,4.180,5.058,4.881,3.469,1.488,0.390,0.067
1077,Medium variant,Gambia,,270,2040-2045,11.119,1.587,1.336,1.519,1.958,2.073,2.044,2.046,2.060,2.137,2.420,3.025,4.024,4.973,5.864,6.076,4.420,2.037,0.533,0.070
1078,Medium variant,Gambia,,270,2045-2050,10.438,1.492,1.270,1.475,1.929,2.084,2.121,2.198,2.287,2.452,2.792,3.400,4.521,6.041,7.020,7.087,5.576,2.649,0.742,0.100
1079,Medium variant,Gambia,,270,2050-2055,9.719,1.382,1.187,1.415,1.881,2.069,2.150,2.310,2.497,2.763,3.236,3.945,5.104,6.820,8.559,8.579,6.561,3.408,0.987,0.145
1080,Medium variant,Gambia,,270,2055-2060,9.002,1.263,1.093,1.337,1.811,2.031,2.153,2.374,2.665,3.059,3.682,4.598,5.948,7.736,9.710,10.514,8.105,4.061,1.302,0.201
1081,Medium variant,Gambia,,270,2060-2065,8.357,1.159,1.010,1.264,1.740,1.988,2.145,2.417,2.789,3.315,4.110,5.242,6.929,9.000,10.998,11.945,9.973,5.161,1.573,0.278
1082,Medium variant,Gambia,,270,2065-2070,7.729,1.056,0.926,1.183,1.649,1.917,2.109,2.432,2.876,3.508,4.486,5.869,7.923,10.528,12.874,13.694,11.530,6.474,2.093,0.349
1083,Medium variant,Gambia,,270,2070-2075,7.079,0.952,0.844,1.098,1.542,1.817,2.036,2.406,2.922,3.653,4.773,6.415,8.887,12.077,15.139,16.208,13.474,7.671,2.686,0.484
1084,Medium variant,Gambia,,270,2075-2080,6.436,0.850,0.763,1.014,1.435,1.706,1.936,2.341,2.926,3.752,5.001,6.839,9.739,13.605,17.478,19.277,16.257,9.229,3.279,0.645
1085,Medium variant,Gambia,,270,2080-2085,5.876,0.766,0.693,0.937,1.334,1.597,1.828,2.250,2.885,3.798,5.165,7.171,10.393,14.944,19.766,22.440,19.626,11.428,4.078,0.825
1086,Medium variant,Gambia,,270,2085-2090,5.387,0.690,0.629,0.865,1.240,1.495,1.722,2.146,2.808,3.785,5.259,7.419,10.921,16.012,21.841,25.658,23.259,14.175,5.237,1.073
1087,Medium variant,Gambia,,270,2090-2095,4.907,0.619,0.567,0.790,1.141,1.387,1.610,2.028,2.695,3.705,5.254,7.543,11.295,16.861,23.505,28.618,27.062,17.249,6.723,1.443
1088,Medium variant,Gambia,,270,2095-2100,4.487,0.554,0.511,0.721,1.049,1.286,1.502,1.913,2.577,3.593,5.173,7.550,11.519,17.530,24.936,31.188,30.775,20.662,8.477,1.945
1089,Medium variant,Ghana,,288,2015-2020,119.900,17.694,15.539,16.628,20.797,21.086,20.635,20.384,19.615,19.627,21.242,24.883,30.413,37.059,42.870,45.861,41.461,24.634,8.337,1.144
1090,Medium variant,Ghana,,288,2020-2025,107.313,16.362,14.607,15.367,19.146,19.753,19.456,20.176,20.829,21.574,24.044,28.383,35.526,43.582,49.953,48.778,38.321,22.560,8.396,1.634
1091,Medium variant,Ghana,,288,2025-2030,96.329,14.480,13.215,14.533,17.882,18.486,18.588,19.455,21.096,23.410,26.882,32.555,40.957,51.434,59.417,57.562,42.055,21.466,7.936,1.711
1092,Medium variant,Ghana,,288,2030-2035,87.081,12.743,11.533,13.313,17.059,17.555,17.736,19.006,20.817,24.244,29.680,36.866,47.508,59.950,70.893,69.621,50.517,24.605,7.797,1.689
1093,Medium variant,Ghana,,288,2035-2040,79.178,11.317,10.119,11.816,15.823,17.084,17.207,18.587,20.876,24.509,31.336,41.282,54.449,70.363,83.658,84.177,62.576,30.258,9.368,1.717
1094,Medium variant,Ghana,,288,2040-2045,72.346,10.225,9.108,10.709,14.432,16.309,17.225,18.546,20.988,25.129,32.115,43.841,61.027,80.522,98.010,99.738,76.256,38.476,11.797,2.134
1095,Medium variant,Ghana,,288,2045-2050,65.481,9.210,8.229,9.787,13.181,15.032,16.635,18.876,21.366,25.728,33.353,45.295,65.330,91.096,113.585,119.030,93.081,48.450,15.719,2.801
1096,Medium variant,Ghana,,288,2050-2055,58.758,8.228,7.441,9.023,12.166,13.891,15.526,18.574,22.200,26.672,34.605,47.424,68.026,98.443,130.105,140.602,114.001,61.475,20.507,3.910
1097,Medium variant,Ghana,,288,2055-2060,52.789,7.317,6.698,8.314,11.318,12.966,14.513,17.626,22.234,28.139,36.224,49.435,71.522,103.121,141.780,163.368,137.854,77.616,27.078,5.323
1098,Medium variant,Ghana,,288,2060-2065,47.686,6.483,5.990,7.642,10.509,12.158,13.671,16.700,21.451,28.643,38.621,52.004,74.931,109.178,149.973,180.703,163.999,97.146,35.496,7.386
1099,Medium variant,Ghana,,288,2065-2070,43.014,5.732,5.312,6.914,9.666,11.363,12.914,15.913,20.621,27.993,39.635,55.629,79.100,115.086,160.233,194.198,185.497,119.393,46.262,10.170
1100,Medium variant,Ghana,,288,2070-2075,39.390,5.305,4.955,6.615,9.401,11.215,12.853,15.886,20.539,27.736,39.327,57.282,84.485,121.150,168.533,208.365,202.218,138.199,58.815,13.937
1101,Medium variant,Ghana,,288,2075-2080,36.041,4.921,4.657,6.320,9.050,10.934,12.662,15.790,20.507,27.599,38.853,56.575,86.878,129.732,178.758,222.732,223.453,157.433,71.574,19.006
1102,Medium variant,Ghana,,288,2080-2085,32.890,4.548,4.374,6.058,8.704,10.553,12.315,15.515,20.341,27.506,38.568,55.649,85.707,133.869,193.001,240.463,245.808,181.845,86.113,24.895
1103,Medium variant,Ghana,,288,2085-2090,30.270,4.218,4.095,5.803,8.416,10.213,11.900,15.101,20.065,27.392,38.522,55.285,84.655,133.218,201.654,264.920,274.130,208.838,105.020,32.236
1104,Medium variant,Ghana,,288,2090-2095,27.715,3.891,3.824,5.509,8.059,9.832,11.436,14.499,19.410,26.825,37.997,54.562,83.342,131.026,200.668,278.873,308.044,241.340,125.979,41.946
1105,Medium variant,Ghana,,288,2095-2100,25.779,3.621,3.572,5.219,7.699,9.470,11.028,13.960,18.689,26.012,37.285,53.859,82.561,130.108,199.818,282.916,333.505,282.736,153.624,54.119
1106,Medium variant,Guinea,,324,2015-2020,86.025,11.147,8.628,8.892,10.493,10.040,9.054,8.319,7.706,7.621,8.638,10.918,14.539,17.482,19.351,19.445,14.048,6.221,1.609,0.204
1107,Medium variant,Guinea,,324,2020-2025,71.769,9.578,7.463,7.962,9.569,9.366,8.673,8.184,7.774,7.766,8.652,10.833,14.692,19.562,22.072,20.808,15.647,7.174,1.898,0.253
1108,Medium variant,Guinea,,324,2025-2030,59.024,7.882,6.100,6.663,8.210,8.264,7.938,7.846,7.807,8.126,9.216,11.376,15.308,20.775,25.926,25.094,17.662,8.481,2.328,0.319
1109,Medium variant,Guinea,,324,2030-2035,48.159,6.385,4.936,5.507,6.972,7.286,7.238,7.457,7.789,8.476,9.942,12.406,16.399,22.074,28.100,30.091,22.167,9.981,2.891,0.412
1110,Medium variant,Guinea,,324,2035-2040,40.051,5.313,4.154,4.765,6.141,6.592,6.781,7.223,7.828,8.854,10.694,13.599,17.990,23.661,29.842,32.793,26.845,13.136,3.557,0.550
1111,Medium variant,Guinea,,324,2040-2045,33.662,4.426,3.509,4.150,5.445,5.975,6.341,7.033,7.897,9.239,11.496,14.931,20.082,26.483,32.807,36.055,30.646,16.721,5.095,0.730
1112,Medium variant,Guinea,,324,2045-2050,28.855,3.775,3.033,3.668,4.883,5.472,5.951,6.854,8.015,9.657,12.308,16.326,22.378,30.051,37.478,40.831,35.077,20.138,6.812,1.137
1113,Medium variant,Guinea,,324,2050-2055,24.646,3.202,2.598,3.211,4.346,4.970,5.533,6.567,8.002,10.032,13.075,17.640,24.674,33.848,43.174,47.802,41.256,24.252,8.711,1.628
1114,Medium variant,Guinea,,324,2055-2060,21.683,2.897,2.418,3.108,4.280,4.977,5.603,6.724,8.287,10.556,13.965,18.906,26.645,37.168,48.472,55.327,49.241,29.717,11.066,2.247
1115,Medium variant,Guinea,,324,2060-2065,19.315,2.657,2.273,3.008,4.215,4.969,5.643,6.835,8.519,10.973,14.733,20.215,28.690,40.566,54.177,63.982,59.685,37.974,14.782,3.181
1116,Medium variant,Guinea,,324,2065-2070,17.447,2.448,2.140,2.923,4.153,4.934,5.644,6.902,8.698,11.335,15.366,21.370,30.861,44.196,60.196,73.574,72.033,48.911,20.395,4.697
